lat;lon;validdate;t_apparent_mean_1h:C
-35.547591;148.851268;2023-11-25T00:00:00Z;20.7
-35.547591;148.851268;2023-11-25T03:00:00Z;26.5
-35.547591;148.851268;2023-11-25T06:00:00Z;19.1
-35.547591;148.851268;2023-11-25T09:00:00Z;15.4
-35.547591;148.851268;2023-11-25T12:00:00Z;10.9
-35.547591;148.851268;2023-11-25T15:00:00Z;8.8
-35.547591;148.851268;2023-11-25T18:00:00Z;8.2
-35.547591;148.851268;2023-11-25T21:00:00Z;15.5
-35.547591;148.851268;2023-11-26T00:00:00Z;23.2
-35.547591;148.851268;2023-11-26T03:00:00Z;24.5
-35.547591;148.851268;2023-11-26T06:00:00Z;22.4
-35.547591;148.851268;2023-11-26T09:00:00Z;15.5
-35.547591;148.851268;2023-11-26T12:00:00Z;10.6
-35.547591;148.851268;2023-11-26T15:00:00Z;10.3
-35.547591;148.851268;2023-11-26T18:00:00Z;11.4
-35.547591;148.851268;2023-11-26T21:00:00Z;14.7
-35.547591;148.851268;2023-11-27T00:00:00Z;24.3
-35.547591;148.851268;2023-11-27T03:00:00Z;27.9
-35.547591;148.851268;2023-11-27T06:00:00Z;24.9
-35.547591;148.851268;2023-11-27T09:00:00Z;15.6
-35.547591;148.851268;2023-11-27T12:00:00Z;12.5
-35.547591;148.851268;2023-11-27T15:00:00Z;12.8
-35.547591;148.851268;2023-11-27T18:00:00Z;12.6
-35.547591;148.851268;2023-11-27T21:00:00Z;13.8
-35.547591;148.851268;2023-11-28T00:00:00Z;20.8
-35.547591;148.851268;2023-11-28T03:00:00Z;22.4
-35.547591;148.851268;2023-11-28T06:00:00Z;15.4
-35.547591;148.851268;2023-11-28T09:00:00Z;12.8
-35.547591;148.851268;2023-11-28T12:00:00Z;12.2
-35.547591;148.851268;2023-11-28T15:00:00Z;11.5
-35.547591;148.851268;2023-11-28T18:00:00Z;11.0
-35.547591;148.851268;2023-11-28T21:00:00Z;12.4
-35.547591;148.851268;2023-11-29T00:00:00Z;16.9
-35.547591;148.851268;2023-11-29T03:00:00Z;17.9
-35.547591;148.851268;2023-11-29T06:00:00Z;18.6
-35.547591;148.851268;2023-11-29T09:00:00Z;13.2
-35.547591;148.851268;2023-11-29T12:00:00Z;10.1
-35.547591;148.851268;2023-11-29T15:00:00Z;10.9
-35.547591;148.851268;2023-11-29T18:00:00Z;10.2
-35.547591;148.851268;2023-11-29T21:00:00Z;13.3
-35.547591;148.851268;2023-11-30T00:00:00Z;14.4
-35.547591;148.851268;2023-11-30T03:00:00Z;15.8
-35.547591;148.851268;2023-11-30T06:00:00Z;17.9
-35.547591;148.851268;2023-11-30T09:00:00Z;14.1
-35.547591;148.851268;2023-11-30T12:00:00Z;12.1
-35.547591;148.851268;2023-11-30T15:00:00Z;11.7
-35.547591;148.851268;2023-11-30T18:00:00Z;11.7
-35.547591;148.851268;2023-11-30T21:00:00Z;13.9
-35.547591;148.851268;2023-12-01T00:00:00Z;23.7
-35.547591;148.851268;2023-12-01T03:00:00Z;20.1
-35.547591;148.851268;2023-12-01T06:00:00Z;23.0
-35.547591;148.851268;2023-12-01T09:00:00Z;14.9
-35.547591;148.851268;2023-12-01T12:00:00Z;11.8
-35.547591;148.851268;2023-12-01T15:00:00Z;10.1
-35.547591;148.851268;2023-12-01T18:00:00Z;10.4
-35.547591;148.851268;2023-12-01T21:00:00Z;13.4
